player_name,team,height,min_year,max_year,pos_class,type,avg_box_plus_minus,avg_box_offensive_plus_minus,avg_box_defensive_plus_minus,avg_global_plus_minus,avg_offensive_global_plus_minus,avg_defensive_global_plus_minus,total_min_per,avg_offensive_rating,avg_defensive_rating,avg_defensive_points_ov_replacement,avg_defensive_stop,avg_usage_rate,avg_effective_field_goal_pct,avg_shooting_pct,avg_offensive_rebound_pct,avg_defensive_rebound_pct,avg_freethrow_made,avg_freethrow_attempted,avg_2p_made,avg_2p_attempted,avg_3p_made,avg_3p_attempted,avg_block_pct,avg_steal_pct,avg_pick,avg_offensive_reb,avg_defensive_reb,avg_total_reb,avg_assists,avg_steals,avg_blocks,avg_points_scored,avg_freethrow_pct,avg_2p_pct,avg_3p_pct,ncaa_id,cluster,PC1,PC2
Dereck Lively II,Duke,215.9,2023,2023,C,"Philadelphia, PA",13.7218,3.65511,10.0667,8.98729,2.35433,6.63296,48.5,130.6,4370.05855,151.70315,7958.3165,12.8,66.1,65.74,12.3,17.8,1018.5,1697.5,3637.5,5092.5,97.0,630.5,620.8,1.5,582.0,102.7036,159.76385,262.4723,52.7777,24.25,118.3982,252.48615,0.6,0.714285714,0.153846154,10378,2,,
Derrick Favors,Georgia Tech,320.04,2010,2010,C,"Atlanta, GA",8.92075,2.8466,6.07414,7.50762,3.82367,3.68395,69.2,109.0,6128.47656,281.004592,16314.1768,21.8,61.5,62.31,12.5,20.2,5951.2,9480.4,12248.4,19860.4,0.0,69.2,539.76,1.8,207.6,211.55132,385.54088,597.09912,65.24868,61.29044,142.35132,869.94088,0.627737226,0.616724739,0.0,10482,2,,
Devin Cannady,Princeton,187.96,2016,2019,Wing G,"Mishawaka, IN",4.057935,3.708725,0.34920665,4.916075,3.954375,0.9616995,280.5,116.248877,28450.1379,865.273142,40910.6177,21.67130125,56.12167558,60.72778253,1.945668449,13.81679144,20053.9,22293.1,15532.0,31241.9,19103.0,47839.7,183.15,8.7,0.0,139.85325,1080.74551,1220.59329,456.64668,308.24984,47.75815,4232.69735,0.899556365,0.497152862,0.399312705,10713,0,,
Devin Ebanks,West Virginia,289.56,2010,2010,Wing F,"Oakdale, CT",7.22896,3.22495,4.00401,6.42393,3.78181,2.64213,75.1,108.5,7170.9235,343.681632,16713.3548,20.6,46.2,52.69,9.5,18.0,8786.7,11415.2,10589.1,21403.5,225.3,2253.0,165.22,1.9,3229.3,218.67618,388.75515,607.42382,183.33412,79.51588,50.80515,901.2,0.769736842,0.494736842,0.1,10735,1,,
Devin Robinson,Florida,203.2,2015,2017,Stretch 4,"Church View, VA",5.058386667,2.071418333,2.986966667,4.875916667,2.344057733,2.53186,170.2,110.3075206,16222.72364,538.347808,27402.44,18.96839013,51.60105758,54.63934195,6.75146886,16.73172738,9824.6,13636.6,13657.8,25883.8,5877.0,17170.0,465.78,4.8,0.0,248.84836,604.00454,852.8529,101.88118,109.43338,104.8764,1546.6869,0.720458179,0.527658226,0.342283052,10784,1,,
Devon Hall,Virginia,195.58,2015,2018,Combo G,"Virginia Beach, VA",5.076,1.65316,3.42284,4.366521,0.88238275,3.484135,219.6,109.1725865,20651.60775,829.237488,32534.80328,17.61311475,49.37358834,53.18305556,1.897449909,14.87167577,11083.2,13356.1,12733.5,28716.2,7944.6,20043.7,184.48,7.0,11638.8,85.14275,703.78089,788.92985,503.23889,135.83616,35.18518,1765.59369,0.829823077,0.443425662,0.396363945,10842,1,,
Devonte' Graham,Kansas,187.96,2015,2018,Pure PG,"Raleigh, NC",6.9425775,5.337975,1.604601,6.751895,4.1453125,2.606585,297.8,116.9903291,30224.01592,1184.95431,63956.48498,20.05648086,53.5501679,57.76849563,1.66937542,8.882874412,29305.0,36864.4,20235.2,46162.8,24970.6,61361.6,93.98,10.2,10125.2,137.34658,836.36936,973.70652,1415.79278,429.28852,32.6732,3897.60274,0.794940376,0.438344295,0.406941801,10910,0,,
Dion Waiters,Syracuse,193.04,2011,2012,Scoring PG,"Burlington, NJ",6.08581,4.645105,1.440705,7.3774,3.705375,3.672025,99.3,112.8129909,9307.14228,273.615252,14276.50302,23.73776435,51.10453172,54.68175227,2.518731118,8.160422961,6692.7,8927.1,9587.1,18648.6,3521.1,10002.6,121.44,8.8,397.2,43.47948,157.47432,200.95773,208.73736,152.71116,24.22116,1012.14864,0.749705952,0.514092211,0.352018475,11064,1,,
Donte Grantham,Clemson,203.2,2015,2018,Wing F,"Martinsburg, WV",5.52586,2.8007575,2.725105,4.7187925,2.8390475,1.879745,266.2,104.5707739,27030.21652,915.53589,40207.945,18.52321563,49.24575507,51.37181818,5.253756574,12.7569121,8946.2,12378.9,15532.6,32562.0,11275.4,34300.7,706.6,6.9,0.0,360.07684,899.76446,1259.8413,519.18565,230.95111,194.85699,2584.40659,0.722697493,0.477016154,0.328722154,11418,0,,
Doron Lamb,Kentucky,193.04,2011,2012,Wing G,"Queens Village, NY",5.598825,5.958935,-0.3601135,5.75175,4.650715,1.101035,148.8,125.024328,14974.06954,482.314149,23260.4611,18.57513441,58.88783602,62.75259409,1.785080645,6.702217742,15191.6,18706.9,14307.0,29097.4,10743.2,22628.3,58.04,2.1,6249.6,64.6375,285.77309,350.41059,232.50412,78.02573,15.06853,1944.50897,0.81208538,0.491693416,0.474768321,11474,1,,
